,ContractId,VersionId,Subject,PublishedAtUtc,ValueVatExcluded,ValueVatIncluded,SupplierIC,SupplierName,PublisherIC,PricePaid
585,372237,396545,Objednávka stravenek - MSB,2016-10-14 10:51:07,,218916,24745391,Edenred CZ s.r.o.,79481,218916.0
586,925849,1086469,Dodávka stravenek pro Katastrální pracoviště Havlíčkův Brod a Třebíč,2017-01-23 11:05:08,,430000,24745391,Edenred CZ s.r.o.,71185208,430000.0
591,274745,294129,Objednávka stravenek - říjen 2016,2016-09-26 14:20:00,546217.0,,24745391,Edenred CZ s.r.o.,215724,546217.0
592,723933,769365,Objednávka stravenek 12/2016 ÚzP v Benšově  (AVISme 2016001003),2016-12-07 07:52:01,73780.0,73780,24745391,Edenred CZ s.r.o.,72080043,73780.0
593,314685,336245,Objednávka stravenek za měsíc červen 2016,2016-10-04 16:14:10,,132720,24745391,Edenred CZ s.r.o.,24449,132720.0
595,538133,573061,Objednávka stravenek 10/2016,2016-11-12 14:32:40,52065.0,52695,24745391,Edenred CZ s.r.o.,37494,52065.0
596,893057,950997,Objednávka_stravenky 1/2017_ÚzP Ostrava I  (AVISme 2016001584),2017-01-04 10:46:19,235620.0,235620,24745391,Edenred CZ s.r.o.,72080043,235620.0
598,902065,960821,Objednávka - nákup stravenek,2017-01-05 08:12:47,238400.0,,24745391,Edenred CZ s.r.o.,64650871,238400.0
600,1619278,1747042,CERGE - Objednávka stravenek,2017-04-20 11:33:30,70000.0,70000,24745391,Edenred CZ s.r.o.,216208,70000.0
603,3585168,3864464,Objednávka stravenek za 10/2017,2017-11-24 11:53:57,,398600,24745391,Edenred CZ s.r.o.,44848943,398600.0
604,1660850,1792402,objednávka stravenek 4/2017,2017-04-25 16:36:20,338350.0,339053,24745391,Edenred CZ s.r.o.,26154170,338350.0
605,4869436,5250696,Objednávka - nákup stravenek,2018-04-13 13:53:56,150000.0,150000,24745391,Edenred CZ s.r.o.,284653,150000.0
608,1522350,1642058,Objednávka stravenek,2017-04-05 13:21:32,,153230,24745391,Edenred CZ s.r.o.,45241295,153230.0
609,1551094,1672874,Objednávka stravenek - březen 2017,2017-04-07 14:50:09,766710.0,,24745391,Edenred CZ s.r.o.,346292,766710.0
614,3066514,3592720,stravenky,2017-10-30 14:14:59,84000.0,84000,24745391,Edenred CZ s.r.o.,277819,84000.0
617,3802736,4101144,Objednávka stravenek Ticket Restaurant  listopad 2017,2017-12-14 13:50:35,,87930,24745391,Edenred CZ s.r.o.,70961808,87930.0
619,2770042,2980758,Objednavka stravenek září 2017 ESF MU/Edenred,2017-08-28 10:02:37,195680.0,195680,24745391,Edenred CZ s.r.o.,216224,195680.0
624,5502523,5924511,Objednávka nabítí karet + nákup stravenek 3Q2018,2018-06-20 12:23:31,,525000,24745391,Edenred CZ s.r.o.,94897,525000.0
625,1755774,1894450,"Objednáváme u Vás 250 ks obálek po 21 ks stravenek, á 75,- Kč/ks stravenky.",2017-05-09 15:40:24,396371.0,396371,24745391,Edenred CZ s.r.o.,261602,396371.0
628,475401,506045,objednávka stravenek pro zaměstnance KFA ns měsíc listopad (AVISme 2016000018),2016-11-02 15:29:19,87581.0,87581,24745391,Edenred CZ s.r.o.,72546522,87581.0
629,2770618,2981362,PrF_objednávka_2258_0006_17-stravenky09,2017-08-28 10:31:41,199206.0,241040,24745391,Edenred CZ s.r.o.,216224,199206.0
631,4696020,5064220,Kupní smlouva - stravenky na duben 2018,2018-03-26 09:46:34,502080.0,,24745391,Edenred CZ s.r.o.,216224,502080.0
632,1588690,1712986,stravenky 04/17,2017-04-13 11:21:16,201180.0,,24745391,Edenred CZ s.r.o.,68081723,201180.0
639,2681906,2885666,Objednávka stravenek,2017-08-16 10:54:25,,86650,24745391,Edenred CZ s.r.o.,293199,86650.0
640,2436994,2625118,Objednávka 4102/24/17_stravenky,2017-07-20 10:46:30,293520.0,,24745391,Edenred CZ s.r.o.,216224,293520.0
641,4510912,4864636,Nákup stravenek,2018-03-05 14:39:23,270500.0,,24745391,Edenred CZ s.r.o.,24422,270500.0
644,4092396,4408520,Objednávka stravenek Ticket restaurant,2018-01-17 07:31:30,115702.0,140000,24745391,Edenred CZ s.r.o.,47813059,115702.0
645,2602970,2801634,Edenred stravenky 8-2017,2017-08-07 11:54:52,51076.0,51470,24745391,Edenred CZ s.r.o.,29319498,51076.0
650,3062966,3300034,Objednávka stravenek pro ZZS Kutná Hora - září 2017,2017-10-02 12:04:49,,68425,24745391,Edenred CZ s.r.o.,75030926,68425.0
652,4687184,5054760,Nákup stravenek na únor 2018,2018-03-23 11:45:11,239801.0,,24745391,Edenred CZ s.r.o.,62156462,239801.0
660,2601906,2800466,MFF - EDENRED CZ objednávka stravenky Ticket Restaurant,2017-08-07 10:45:12,,1170000,24745391,Edenred CZ s.r.o.,216208,1170000.0
662,3203602,3454790,Dílčí objednávka č. 10 k obchodní smlouvě - stravenky - říjen ,2017-10-17 09:44:46,400000.0,,24745391,Edenred CZ s.r.o.,70883858,400000.0
671,3429160,3697908,Registr smluv - Objednávka stravenek,2017-11-08 09:42:56,,147186,24745391,Edenred CZ s.r.o.,231142,147186.0
672,3876648,4180896,"Objednávka/smlouva - stravenky TicketRestaurant v nominální hodnotě 80Kč, 6829kusů, 01/2018",2017-12-21 06:05:10,546320.0,546320,24745391,Edenred CZ s.r.o.,216224,546320.0
673,1679194,1812458,Objednávka  stravenek pro zaměstnance,2017-04-27 11:27:19,,85525,24745391,Edenred CZ s.r.o.,44992785,85525.0
676,1748618,1886862,Objednávka - nákup stravenek,2017-05-09 09:34:22,125000.0,125000,24745391,Edenred CZ s.r.o.,284653,125000.0
677,4299840,4633404,829700_Nákup služby_stravovací poukázky za měsíc 11a 12/2017 - doplatek počt stravenek  126  v nomin. hodnotě 90 Kč a za měsíc 01/18 v počtu  90 ks a nomin. hodnotě 100 Kč. Objednávka číslo KVZ 2-1/14/2018-8297,2018-02-08 08:59:45,,20340,24745391,Edenred CZ s.r.o.,60162694,20340.0
679,1098817,1419914,Dílčí plnění stravenky leden,2017-03-08 17:43:13,,84280,24745391,Edenred CZ s.r.o.,60162694,84280.0
681,1999454,2155430,stravenky na červenec 2017 - 1.000ks,2017-06-08 08:01:16,80000.0,80000,24745391,Edenred CZ s.r.o.,44992785,80000.0
684,2046322,2205702,"Objednáváme u vás stravenky na měsíc 07/2017 v celkovém počtu 7000ks á 90,-Kč za kus.",2017-06-13 13:47:12,630000.0,,24745391,Edenred CZ s.r.o.,60733098,630000.0
685,1965014,2118662,Objednávka stravenek 6/2017,2017-06-05 08:58:28,166770.0,166770,24745391,Edenred CZ s.r.o.,25208,166770.0
688,3327856,3589076,Zveřejnění objednávky stravenek č. O/3647/2017/OHS na 11/2017,2017-10-30 12:05:52,,360000,24745391,Edenred CZ s.r.o.,845451,360000.0
690,3412312,3679892,stravenky pro zaměstnance za září a říjen 2017,2017-11-07 08:39:21,35640.0,,24745391,Edenred CZ s.r.o.,240711,35640.0
691,2199466,2370822,Objednávka č. 9201/0333/17 - stravenky,2017-06-27 14:16:29,138247.0,167280,24745391,Edenred CZ s.r.o.,216224,138247.0
908,3264242,3521110,stravenky listopad 2017 ,2017-10-23 14:53:16,232400.0,,62913671,Up Česká republika s.r.o.,67985955,232400.0
909,1670290,1802702,stravenky,2017-04-26 14:05:50,,116910,62913671,Up Česká republika s.r.o.,24970,116910.0
910,2886162,3107610,Nákup stravenek 9/2017 ,2017-09-11 09:40:09,80000.0,80000,62913671,Up Česká republika s.r.o.,24741,80000.0
911,4372416,4713544,Objednávka - stravenky Chéque Déjeuner - únor 2018,2018-02-16 10:43:56,,77242,62913671,Up Česká republika s.r.o.,873373,77242.0
913,3969064,4272168,stravenky,2018-01-04 10:43:38,,120420,62913671,Up Česká republika s.r.o.,24970,120420.0
916,4765360,5139276,"Objednávka \stravenky\""""",2018-04-04 08:41:06,1009680.0,,62913671,Up Česká republika s.r.o.,70994234,1009680.0
920,1973206,2127358,Objednávka - stravenky,2017-06-05 15:06:25,,78480,62913671,Up Česká republika s.r.o.,45241651,78480.0
924,3148346,3393494,objednávka stravenek na měsíc srpen 2017,2017-10-10 19:56:44,169680.0,169680,62913671,Up Česká republika s.r.o.,24911,169680.0
928,1278918,1371518,objednávka stravenek cheque dejeuner,2017-03-02 14:51:35,210000.0,210000,62913671,Up Česká republika s.r.o.,47813059,210000.0
937,2959794,3187662,objednávka stravenek pro fakultu,2017-09-19 11:00:53,175000.0,175000,62913671,Up Česká republika s.r.o.,47813059,175000.0
938,2245670,2421898,stravenky 07/2017,2017-06-29 14:17:45,99173.0,120000,62913671,Up Česká republika s.r.o.,829013,99173.0
