"PublisherIC";"PublisherName";"Region";"NumberOfEmployees"
205;"Vojenské lesy a statky ČR, s.p.";"Praha";3000
3352;"STÁTNÍ PLAVEBNÍ SPRÁVA";"Praha";50
23337;"NÁRODNÍ DIVADLO";"Praha";1500
23728;"REVMATOLOGICKÝ ÚSTAV";"Praha";200
23752;"Národní ústav duševního zdraví";"Středočeský kraj";250
24431;"Obvodní soud pro Prahu 6";"Praha";100
24562;"Okresní soud v Nymburce";"Středočeský kraj";50
24601;"Okresní soud v Rakovníku";"Středočeský kraj";25
24627;"Okresní soud v Českých Budějovicích";"Jihočeský kraj";100
24635;"Okresní soud v Českém Krumlově";"Jihočeský kraj";50
24643;"Okresní soud v Jindřichově Hradci";"Jihočeský kraj";50
24830;"Okresní soud v Děčíně";"Ústecký kraj";100
24988;"Okresní soud v Pardubicích";"Pardubický kraj";100
25160;"Okresní soud Vyškov";"Jihomoravský kraj";50
25241;"Okresní soud v Olomouci";"Olomoucký kraj";100
25844;"ČESKÝ BÁŇSKÝ ÚŘAD";"Praha";100
26034;"Krajské státní zastupitelství v Plzni";"Plzeňský kraj";200
63631;"MĚSTSKÁ ČÁST PRAHA 5";"Praha";250
63894;"Městská část Praha 9";"Praha";200
64467;"Městská knihovna v Praze";"Praha";500
64491;"Pražská informační služba - Prague City Tourism";"Praha";100
72150;"Muzeum středního Pootaví Strakonice";"Jihočeský kraj";25
73865;"Městské kulturní středisko v Domažlicích";"Plzeňský kraj";20
81221;"DŮM KULTURY TEPLICE";"Ústecký kraj";100
83143;"DIVADLO F. X. ŠALDY LIBEREC, příspěvková organizace";"Liberecký kraj";250
83267;"Oblastní galerie Liberec, příspěvková organizace";"Liberecký kraj";10
85219;"Krajská knihovna v Pardubicích";"Pardubický kraj";50
87726;"Střední odborné učiliště, Lázně Bělohrad, Zámecká 478";"Královéhradecký kraj";25
90026;"ZOO a zámek Zlín - Lešná, příspěvková organizace";"Zlínský kraj";50
90450;"Krajská správa a údržba silnic Vysočiny, příspěvková organizace";"Kraj Vysočina";500
92096;"SOCIÁLNÍ SLUŽBY UHERSKÉ HRADIŠTĚ, PŘÍSPĚVKOVÁ ORGANIZACE";"Zlínský kraj";500
94838;"Městské divadlo Zlín, příspěvková organizace";"Zlínský kraj";100
97969;"Muzeum Komenského v Přerově, příspěvková organizace";"Olomoucký kraj";50
100536;"Těšínské divadlo Český Těšín, příspěvková organizace";"Moravskoslezský kraj";100
100579;"Moravskoslezská vědecká knihovna v Ostravě, příspěvková organizace";"Moravskoslezský kraj";50
101397;"Městské divadlo Brno, příspěvková organizace";"Jihomoravský kraj";250
164801;"MINISTERSTVO ŽIVOTNÍHO PROSTŘEDÍ";"Praha";500
173843;"Střední škola stavebních řemesel Brno-Bosonohy, příspěvková organizace";"Jihomoravský kraj";100
190217;"Městská nemocnice Hořice";"Královéhradecký kraj";100
194964;"Domov důchodců Dvůr Králové nad Labem";"Královéhradecký kraj";50
195201;"SDRUŽENÍ OZDRAVOVEN A LÉČEBEN OKRESU T R U T N O V";"Královéhradecký kraj";250
215660;"Městský soud v Praze";"Praha";1000
215708;"Krajský soud v Ústí nad Labem";"Ústecký kraj";500
216208;"Univerzita Karlova";"Praha";10000
231223;"Městská část Praha 17";"Praha";100
231266;"MĚSTSKÁ ČÁST PRAHA - ĎÁBLICE";"Praha";20
231312;"Městská část Praha 14";"Praha";200
234877;"Město Slaný";"Středočeský kraj";200
235334;"Město Český Brod";"Středočeský kraj";100
239500;"Město Nymburk";"Středočeský kraj";100
241857;"MĚSTSKÁ ČÁST PRAHA - ZBRASLAV";"Praha";25
241881;"MĚSTSKÁ ČÁST PRAHA - ZLIČÍN";"Praha";25
246875;"Město Jindřichův Hradec";"Jihočeský kraj";200
247618;"Město Třeboň";"Jihočeský kraj";100
